Start Date Month,Start Date Dayofweek,Start Date is weekend,Start Date quarter,lag_1_sessions,lag_7_sessions,rolling_7_mean,rolling_7_std
11,5,1,4,3.0,2.0,3.0,1.825741858350531
11,5,1,4,3.0,1.0,1.8571428571428572,0.8997354108425873
11,5,1,4,1.0,1.0,1.2857142857142858,0.4879500364742588
11,5,1,4,3.0,2.0,2.4285714285714284,0.9759000729485319
11,6,1,4,3.0,1.0,2.142857142857143,0.8997354108425806
11,6,1,4,3.0,1.0,3.142857142857143,1.7728105208558151
11,6,1,4,2.0,4.0,2.4285714285714284,0.9759000729485319
11,6,1,4,3.0,1.0,2.0,0.8164965809277259
11,6,1,4,2.0,2.0,1.4285714285714286,0.5345224838248454
11,0,0,4,3.0,2.0,3.4285714285714284,1.511857892036888
11,0,0,4,3.0,1.0,2.4285714285714284,0.786795792469599
11,0,0,4,2.0,3.0,2.142857142857143,0.690065559342354
11,0,0,4,5.0,2.0,2.5714285714285716,1.2724180205607027
11,1,0,4,2.0,1.0,1.4285714285714286,0.5345224838248454
11,1,0,4,1.0,2.0,1.8571428571428572,0.690065559342354
11,1,0,4,1.0,2.0,2.4285714285714284,0.786795792469599
11,1,0,4,4.0,5.0,3.7142857142857144,1.3801311186846899
11,1,0,4,2.0,2.0,2.5714285714285716,1.2724180205607027
11,2,0,4,1.0,2.0,1.7142857142857142,0.7559289460184544
11,2,0,4,4.0,3.0,2.857142857142857,1.3451854182690977
11,2,0,4,4.0,2.0,3.5714285714285716,1.2724180205606808
11,2,0,4,2.0,2.0,1.5714285714285714,0.5345224838248491
11,2,0,4,1.0,3.0,2.2857142857142856,0.9511897312114741
11,3,0,4,3.0,1.0,2.857142857142857,1.3451854182690977
11,3,0,4,2.0,1.0,1.7142857142857142,0.7559289460184544
11,3,0,4,3.0,2.0,2.2857142857142856,0.9511897312114741
11,3,0,4,6.0,6.0,4.142857142857143,1.3451854182690866
11,3,0,4,4.0,1.0,1.8571428571428572,1.0690449676497014
11,4,0,4,3.0,2.0,2.0,0.8164965809277259
11,4,0,4,4.0,3.0,2.5714285714285716,1.1338934190277872
11,4,0,4,4.0,3.0,3.857142857142857,1.0690449676496763
11,4,0,4,4.0,3.0,3.2857142857142856,1.1126972805283726
11,4,0,4,3.0,1.0,2.142857142857143,1.0690449676497051
11,5,1,4,3.0,3.0,2.142857142857143,0.8997354108424372
11,5,1,4,1.0,3.0,2.2857142857142856,1.2535663410561177
11,5,1,4,3.0,2.0,3.2857142857142856,1.1126972805283726
11,5,1,4,2.0,1.0,2.2857142857142856,0.9511897312113525
11,5,1,4,5.0,3.0,4.142857142857143,1.0690449676496823
